IDENTIFICADOR,TIPO,POSICAO,NUM_DE_PALAVRAS,NOME_NUM_FINAL,NOME_NUM_MEIO,NOME_TIPO_IGUAL,TIPO_PARTE_NOME,NOME_PARTE_TIPO,NOME_UMA_LETRA,NOME_INICIA_UNDERLINE,LETRA_INICIA_TIPO
 bookService ,BookService,Atributo,2,0,0,0,0,0,0,0,0
 pw ,PrintWriter,Variavel,1,0,0,0,0,0,0,0,0
 rd ,RequestDispatcher,Variavel,1,0,0,0,0,0,0,0,0
 session ,HttpSession,Variavel,1,0,0,0,0,0,0,0,0
 bookIds ,String,Variavel,2,0,0,0,0,0,0,0,0
 rd ,RequestDispatcher,Variavel,1,0,0,0,0,0,0,0,0
 books ,List,Variavel,1,0,0,0,0,0,0,0,0
 cartItems ,List,Variavel,2,0,0,0,0,0,0,0,0
 amountToPay ,double,Variavel,3,0,0,0,0,0,0,0,0
 qty ,int,Variavel,1,0,0,0,0,0,0,0,0
 cart ,Cart,Variavel,1,0,0,0,0,0,0,0,0
 rd ,RequestDispatcher,if,1,0,0,0,0,0,0,0,0
 qty ,int,For,1,0,0,0,0,0,0,0,0
 cart ,Cart,For,1,0,0,0,0,0,0,0,0
 book ,Book,Variavel,1,0,0,0,0,0,0,0,0
Identificador,Tipo,Posicao,1,0,0,0,0,0,0,0,0
 bookService ,BookService,Atributo,2,0,0,0,0,0,0,0,0
 pw ,PrintWriter,Variavel,1,0,0,0,0,0,0,0,0
 rd ,RequestDispatcher,Variavel,1,0,0,0,0,0,0,0,0
 session ,HttpSession,Variavel,1,0,0,0,0,0,0,0,0
 bookIds ,String,Variavel,2,0,0,0,0,0,0,0,0
 rd ,RequestDispatcher,Variavel,1,0,0,0,0,0,0,0,0
 books ,List,Variavel,1,0,0,0,0,0,0,0,0
 cartItems ,List,Variavel,2,0,0,0,0,0,0,0,0
 amountToPay ,double,Variavel,3,0,0,0,0,0,0,0,0
 qty ,int,Variavel,1,0,0,0,0,0,0,0,0
 cart ,Cart,Variavel,1,0,0,0,0,0,0,0,0
 rd ,RequestDispatcher,if,1,0,0,0,0,0,0,0,0
 qty ,int,For,1,0,0,0,0,0,0,0,0
 cart ,Cart,For,1,0,0,0,0,0,0,0,0
 book ,Book,Variavel,1,0,0,0,0,0,0,0,0
nome,tipo,posicao,1,0,0,0,0,0,0,0,0
 bookService ,BookService,Atributo,2,0,0,0,0,0,0,0,0
 pw ,PrintWriter,Variavel,1,0,0,0,0,0,0,0,0
 rd ,RequestDispatcher,Variavel,1,0,0,0,0,0,0,0,0
 session ,HttpSession,Variavel,1,0,0,0,0,0,0,0,0
 bookIds ,String,Variavel,2,0,0,0,0,0,0,0,0
 rd ,RequestDispatcher,Variavel,1,0,0,0,0,0,0,0,0
 books ,List,Variavel,1,0,0,0,0,0,0,0,0
 cartItems ,List,Variavel,2,0,0,0,0,0,0,0,0
 amountToPay ,double,Variavel,3,0,0,0,0,0,0,0,0
 qty ,int,Variavel,1,0,0,0,0,0,0,0,0
 cart ,Cart,Variavel,1,0,0,0,0,0,0,0,0
 rd ,RequestDispatcher,if,1,0,0,0,0,0,0,0,0
 qty ,int,For,1,0,0,0,0,0,0,0,0
 cart ,Cart,For,1,0,0,0,0,0,0,0,0
 book ,Book,Variavel,1,0,0,0,0,0,0,0,0
